name,score,time,comment
Cycble,5,2019-07-13 17:46:17,1人心中的成见是一座大山但我命由我不由天是魔是仙我是谁只有我自己说了算2哪吒和熬丙的打斗是魔丸和灵珠的左右互搏更是善与恶的现身说法人性本善本恶并不重要重要的是你习得的教育是什么你要成为什么样的人3今天是我的生日宴你们谁都不准哭哭成狗了好吗4东北天后夏岗丽本色出演的群演太好笑了哈哈哈哈哈5和是他是他就是他的小哪吒完全是两个故事了不是毁三观而是打开了封神榜新世界的大门改编的太好了这个夏天绝对要爆爆爆啊6想了好久这部电影的问题是什么大概是改了哪咤自刎割肉还母削骨还父的悲剧内核
frozenmoon,4,2019-07-26 16:13:23,人不过就是半神半魔的造物这故事按照这个路子衍生整体非常工整技术让人赞叹自大圣归来到哪吒这条从中国神话拿改素材的动画之路被证明是最经济实惠的这里面其实有着另外可以深化的内容就是几个角色的象征哪吒像个为民请命的知识分子但被庸众看作妖怪他的叛逆不被理解和尊重龙王是个归顺的反叛者但被招安并不代表被信任他的下场故事里讲得很清楚而敖丙是甩脱出身帽子的唯一机会而最终这个年轻人和哪吒那个反叛者合二为一成为一个被大众颔首的理中客这到底是成熟还是悲哀呢只不过这个方向肯定不会被明确提点想想有点悲哀动画片的形式让这类作品成为了我们电影中最可能表达一些别样内容的容器但也因为形式那些表达最终被掩埋在搞笑和特效之中
木卫二,4,2019-07-23 16:39:17,承认期待不高看得有些意外我不是哪吒迷而更接近封神迷实为情怀的那种玩意所以看到片方想要铺封神宇宙无论成败总归是有人在做这么一步并且这一步作为起点是恰如其分的不存在哪吒就应该是代表刻画什么精神之类的说法动画片也不是低幼倾向的文化产品性格转变过快密集迎合观众笑点之类的缺陷有不少但来日可期可以再打磨
乌鸦火堂,4,2019-07-19 12:29:48,这才是暑期电影应该有的样子不闹海的哪吒是文本与技术双成熟的华语动画故事流畅角色生动虽然魔改但整体路线还是以脍炙人口的大闹陈塘关故事为基础且更符合当下文化价值观感体验与大圣归来很像笑料与热血并举设定方面除了哪吒三件套外山河社稷图混元珠等设定都是源自封神的噱头也有小云云结界兄弟等可爱的原创角色只可惜结尾大战意犹未尽不算过瘾至于画面嘛制作水平早就不是华语动画的掣肘了这部更是有着美观造型和时髦特效的视觉大餐
一棵无聊的树,3,2019-07-19 11:43:54,全程冷漠脸我太讨厌熊孩子了尤其是这么丑破坏力还这么强的还有给小孩配不屑御姐音让我感到不适
野蒜,3,2019-07-17 20:52:24,偏低幼向剧情含量比大圣归来要多但观感没有超越大圣顶多比肩白蛇有些影评人拿它踩大圣我亮点在于重写了敖丙和哪吒的关系正邪一体反宿命论龙宫和万鳞甲的设定我很喜欢但为了故事革新削肉还母削骨还父的经典场面没了最后的终极大战也没有燃到新境界人物台词融入一些现代化的笑点确实更搞笑但我出戏很多次奇幻题材的沉浸感很重要太乙真人从外形到配音都像pdd哪吒的傲娇御姐音什么鬼炒cp可真好卖神话英雄在不同时代被不同创作者赋予不同的涵义你以为它是骨其实它是壳朋友说你不能否认魔童它很当下所以大圣归来不讲大闹天宫哪吒也不讲闹海自刎是时代的反骨逆鳞被拔除了我们都是龙宫里的老龙
深夜声咽,5,2019-07-14 17:33:52,火然意思是要火的样子比大圣厉害多了冰与火不虐让再长大点再来虐吧先美好童年先从头笑到彩蛋踢毽子感人丑萌喜欢坐等好影院屏幕二刷3D记得带上眼镜儿火火个小哪吒吧
曼彻斯特的雪,5,2019-07-20 21:22:26,比白蛇缘起更成熟国漫又进步了又燃又有内核打戏画面人物表情人物性格的塑造和心理建设都堪称完美是魔是仙我自己说了才算我命由我不由天若命运不公就和它斗到底天生倔强打破成见这就是哪吒
DieKatze,1,2019-07-20 12:04:46,老版可是提倡自由意志的
承阿生,1,2019-07-19 22:36:03,以为是混世魔王结果是缺爱小瘪三坏又坏不起来人设单薄配音除了申公豹没有一个不出戏的剧情陈旧梗又不好笑觉得是一部不入格的跟风网络这几年的痛点留守儿童的父母之罪校园bully致郁社会judge成性之作最后我命由我不由天确定不是九几年穿越过来的idea观后感应了片尾曲其中一句在期待后失望完全没有新意敖丙的爹的细节值得赢取一颗星但影视书讲究的是整体而不是一个华丽的手
LOOK,2,2019-07-21 22:01:14,远远不如小时候看的哪吒闹海来得撼人心魄传统中国各类文本动人的都是关于人伦的张力哪吒是骨肉还给父母修得至纯至净莲花身本作改得不伦不类不中不西对抗个人命运很是大而无当人物造型笑料桥段迪士尼香港无厘头电脑游戏借用不少意思却不大迎合的心态永远弄不成一流的商业片25
